name;sku;ean;slug;available;shopUrl
Insektenschutz FlexProfessional 2;FP-IS-2;4260706043756;insektenschutz-flexprofessional-2;false;https://elvent.shop/product/insektenschutz-flexprofessional-2/FP-IS-2
Insektenschutz FlexProfessional 4;FP-IS-4;4260706043770;insektenschutz-flexprofessional-4;false;https://elvent.shop/product/insektenschutz-flexprofessional-4/FP-IS-4
Insektenschutz SmartCruiser;SC-MO-0;4260706040298;insektenschutz-smartcruiser;true;https://elvent.shop/product/insektenschutz-smartcruiser/SC-MO-0
Insektenschutz WagonPro;WP-MO-0;4260706040304;insektenschutz-wagonpro;true;https://elvent.shop/product/insektenschutz-wagonpro/WP-MO-0
Isolierte Snack- und Getränketasche (Größe M);SC-SG-0;;isolierte-snack-und-getraenketasche-groesse-m;false;https://elvent.shop/product/isolierte-snack-und-getraenketasche-groesse-m/SC-SG-0
Isolierte Snack- und Getränketasche (Größe XL);WP-SG-0;4260706043480;isolierte-snack-und-getraenketasche-groesse-xl;false;https://elvent.shop/product/isolierte-snack-und-getraenketasche-groesse-xl/WP-SG-0
Kühlbox (Größe L);KB-P-L;4260706043138;kuehlbox-groesse-l;false;https://elvent.shop/product/kuehlbox-groesse-l/KB-P-L
Kühlbox (Größe S);KB-P-S;4260706042100;kuehlbox-groesse-s;false;https://elvent.shop/product/kuehlbox-groesse-s/KB-P-S
Kühltasche AllRounder City;AR-KT-C;4260706042995;kuehltasche-allrounder-city;true;https://elvent.shop/product/kuehltasche-allrounder-city/AR-KT-C
Kühltasche AllRounder Premium;AR-KT-P;4260706049987;kuehltasche-allrounder-premium;true;https://elvent.shop/product/kuehltasche-allrounder-premium/AR-KT-P
Kühltasche FamilyStar;FS-KT-0;4260706043695;kuehltasche-familystar;true;https://elvent.shop/product/kuehltasche-familystar/FS-KT-0
Kühltasche für ComfortPlus;CP-KT-0;4260706040526;kuehltasche-fuer-comfortplus;true;https://elvent.shop/product/kuehltasche-fuer-comfortplus/CP-KT-0
Kühltasche SmartCruiser City;SC-KT-C;4260706040465;kuehltasche-smartcruiser-city;true;https://elvent.shop/product/kuehltasche-smartcruiser-city/SC-KT-C
Kühltasche SmartCruiser Premium;SC-KT-P;4260706043015;kuehltasche-smartcruiser-premium;true;https://elvent.shop/product/kuehltasche-smartcruiser-premium/SC-KT-P
Kühltasche WagonPro City;WP-KT-C;4260706049994;kuehltasche-wagonpro-city;true;https://elvent.shop/product/kuehltasche-wagonpro-city/WP-KT-C
Kühltasche WagonPro Premium;WP-KT-P;4260706043008;kuehltasche-wagonpro-premium;true;https://elvent.shop/product/kuehltasche-wagonpro-premium/WP-KT-P
Kunststoffdachhalterung;BW-KDH-0;4260706041769;kunststoffdachhalterung;true;https://elvent.shop/product/kunststoffdachhalterung/BW-KDH-0
Laufrad BalanceGo 12″;BG-12-0;;laufrad-balancego-12;false;https://elvent.shop/product/laufrad-balancego-12/BG-12-0
Leder für Schiebegriff AllRounder;AR-LS-0;4260706040946;leder-fuer-schiebegriff-allrounder;true;https://elvent.shop/product/leder-fuer-schiebegriff-allrounder/AR-LS-0
Leder für Schiebegriff ComfortPlus 2;CP-LS-2;4260706041950;leder-fuer-schiebegriff-comfortplus-2;true;https://elvent.shop/product/leder-fuer-schiebegriff-comfortplus-2/CP-LS-2
Leder für Schiebegriff ComfortPlus 4;CP-LS-4;4260706041967;leder-fuer-schiebegriff-comfortplus-4;true;https://elvent.shop/product/leder-fuer-schiebegriff-comfortplus-4/CP-LS-4
Leder für Schiebegriff SmartCruiser;SC-LS-0;4260706040618;leder-fuer-schiebegriff-smartcruiser;true;https://elvent.shop/product/leder-fuer-schiebegriff-smartcruiser/SC-LS-0
Leder für Schiebegriff WagonPro;WP-LS-0;4260706040625;leder-fuer-schiebegriff-wagonpro;true;https://elvent.shop/product/leder-fuer-schiebegriff-wagonpro/WP-LS-0
Metall-Aufhängung Hecktasche für AllRounder (ohne Stoffbezug);AR-MH-0;4260706042445;metall-aufhaengung-hecktasche-fuer-allrounder-ohne-stoffbezug;true;https://elvent.shop/product/metall-aufhaengung-hecktasche-fuer-allrounder-ohne-stoffbezug/AR-MH-0
Metall-Aufhängung Hecktasche für SmartCruiser (ohne Stoffbezug);SC-MH-0;4260706040144;metall-aufhaengung-hecktasche-fuer-smartcruiser-ohne-stoffbezug;true;https://elvent.shop/product/metall-aufhaengung-hecktasche-fuer-smartcruiser-ohne-stoffbezug/SC-MH-0
Metall-Aufhängung Hecktasche für WagonPro (ohne Stoffbezug);WP-MH-0;4260706040212;metall-aufhaengung-hecktasche-fuer-wagonpro-ohne-stoffbezug;true;https://elvent.shop/product/metall-aufhaengung-hecktasche-fuer-wagonpro-ohne-stoffbezug/WP-MH-0
Metallaufhängung ComfortPlus;CP-MA-0;4260706040939;metallaufhaengung-comfortplus;true;https://elvent.shop/product/metallaufhaengung-comfortplus/CP-MA-0
Motor für Federwiege;LB-MT-0;;motor-fuer-federwiege;false;https://elvent.shop/product/motor-fuer-federwiege/LB-MT-0
Netztasche;BW-NT-0;4260706043435;netztasche;true;https://elvent.shop/product/netztasche/BW-NT-0
Ösenplatte Federwiege XL;LB-OP-DB-XL;4260706043947;oesenplatte-federwiege-xl;true;https://elvent.shop/product/oesenplatte-federwiege-xl/LB-OP-DB-XL
Outdoor Rucksack;BW-RK-0;4260706043268;outdoor-rucksack;false;https://elvent.shop/product/outdoor-rucksack/BW-RK-0
Premium Off-Road Räder-Set;BW-HVR-PU-SET;4260706043022;premium-off-road-raeder-set;true;https://elvent.shop/product/premium-off-road-raeder-set/BW-HVR-PU-SET
Premium Offroad Hinterrad;BW-HR-PU-0;4260706042650;premium-offroad-hinterrad;true;https://elvent.shop/product/premium-offroad-hinterrad/BW-HR-PU-0
Premium Offroad Vorderrad;BW-VR-PU-0;4260706042667;premium-offroad-vorderrad;true;https://elvent.shop/product/premium-offroad-vorderrad/BW-VR-PU-0
Regen- und Windschutz FlexProfessional 2;FP-RS-2;4260706043749;regen-und-windschutz-flexprofessional-2;false;https://elvent.shop/product/regen-und-windschutz-flexprofessional-2/FP-RS-2
Regen- und Windschutz FlexProfessional 4;FP-RS-4;4260706043763;regen-und-windschutz-flexprofessional-4;false;https://elvent.shop/product/regen-und-windschutz-flexprofessional-4/FP-RS-4
Regen- und Windschutz: AllRounder;AR-RS-0;4260706041943;regen-und-windschutz-allrounder;true;https://elvent.shop/product/regen-und-windschutz-allrounder/AR-RS-0
Regen- und Windschutz: ComfortPlus 2;CP-RS-2;4260706043527;regen-und-windschutz-comfortplus-2;true;https://elvent.shop/product/regen-und-windschutz-comfortplus-2/CP-RS-2
Regen- und Windschutz: ComfortPlus 4;CP-RS-4;4260706043510;regen-und-windschutz-comfortplus-4;true;https://elvent.shop/product/regen-und-windschutz-comfortplus-4/CP-RS-4
Regen- und Windschutz: FamilyStar 2;FS-RS-2;4260706043442;regen-und-windschutz-familystar-2;true;https://elvent.shop/product/regen-und-windschutz-familystar-2/FS-RS-2
Regen- und Windschutz: FamilyStar 4;FS-RS-4;4260706043459;regen-und-windschutz-familystar-4;true;https://elvent.shop/product/regen-und-windschutz-familystar-4/FS-RS-4
Regen- und Windschutz: SmartCruiser;SC-RS-0;4270001182555;regen-und-windschutz-smartcruiser;true;https://elvent.shop/product/regen-und-windschutz-smartcruiser/SC-RS-0
